dish_id,calories_x,mass_x,fat_x,carb_x,protein_x,calories_y,mass_y,fat_y,carb_y,protein_y,overhead_rgb_calories,overhead_rgb_mass,overhead_rgb_fat,overhead_rgb_carb,overhead_rgb_protein,overhead_rgb_brightness_minus_calories,overhead_rgb_brightness_minus_mass,overhead_rgb_brightness_minus_fat,overhead_rgb_brightness_minus_carb,overhead_rgb_brightness_minus_protein,overhead_rgb_brightness_plus_calories,overhead_rgb_brightness_plus_mass,overhead_rgb_brightness_plus_fat,overhead_rgb_brightness_plus_carb,overhead_rgb_brightness_plus_protein,overhead_rgb_contrast_minus_calories,overhead_rgb_contrast_minus_mass,overhead_rgb_contrast_minus_fat,overhead_rgb_contrast_minus_carb,overhead_rgb_contrast_minus_protein,overhead_rgb_contrast_plus_calories,overhead_rgb_contrast_plus_mass,overhead_rgb_contrast_plus_fat,overhead_rgb_contrast_plus_carb,overhead_rgb_contrast_plus_protein,overhead_rgb_saturation_minus_calories,overhead_rgb_saturation_minus_mass,overhead_rgb_saturation_minus_fat,overhead_rgb_saturation_minus_carb,overhead_rgb_saturation_minus_protein,overhead_rgb_saturation_plus_calories,overhead_rgb_saturation_plus_mass,overhead_rgb_saturation_plus_fat,overhead_rgb_saturation_plus_carb,overhead_rgb_saturation_plus_protein,calories,mass,fat,carb,protein,side_angle_rgb_calories,side_angle_rgb_mass,side_angle_rgb_fat,side_angle_rgb_carb,side_angle_rgb_protein,side_angle_rgb_brightness_minus_calories,side_angle_rgb_brightness_minus_mass,side_angle_rgb_brightness_minus_fat,side_angle_rgb_brightness_minus_carb,side_angle_rgb_brightness_minus_protein,side_angle_rgb_brightness_plus_calories,side_angle_rgb_brightness_plus_mass,side_angle_rgb_brightness_plus_fat,side_angle_rgb_brightness_plus_carb,side_angle_rgb_brightness_plus_protein,side_angle_rgb_contrast_minus_calories,side_angle_rgb_contrast_minus_mass,side_angle_rgb_contrast_minus_fat,side_angle_rgb_contrast_minus_carb,side_angle_rgb_contrast_minus_protein,side_angle_rgb_contrast_plus_calories,side_angle_rgb_contrast_plus_mass,side_angle_rgb_contrast_plus_fat,side_angle_rgb_contrast_plus_carb,side_angle_rgb_contrast_plus_protein,side_angle_rgb_saturation_minus_calories,side_angle_rgb_saturation_minus_mass,side_angle_rgb_saturation_minus_fat,side_angle_rgb_saturation_minus_carb,side_angle_rgb_saturation_minus_protein,side_angle_rgb_saturation_plus_calories,side_angle_rgb_saturation_plus_mass,side_angle_rgb_saturation_plus_fat,side_angle_rgb_saturation_plus_carb,side_angle_rgb_saturation_plus_protein
dish_1562183096,41.18898,95.0,2.571043,3.28026,2.80497,41.18898,95.0,2.571043,3.28026,2.80497,67.0,150.0,4.3500000000000005,1.45,2.75,67.0,150.0,4.3500000000000005,1.45,2.75,67.0,150.0,4.3500000000000005,1.45,2.75,67.0,150.0,4.3500000000000005,1.45,2.75,67.0,150.0,4.3500000000000005,1.45,2.75,67.0,150.0,4.3500000000000005,1.45,2.75,67.0,150.0,4.3500000000000005,1.45,2.75,41.18898,95.0,2.571043,3.28026,2.80497,392.0,350.0,8.15,71.65,6.050000000000001,392.0,350.0,8.15,71.65,6.050000000000001,203.0,200.0,8.15,26.65,3.8000000000000003,299.4,240.0,13.39,35.17,7.4639999999999995,203.0,200.0,8.15,26.65,3.8000000000000003,203.0,200.0,8.15,26.65,3.8000000000000003,203.0,200.0,8.15,26.65,3.8000000000000003
dish_1563476551,1116.391113,750.0,51.413692,74.705963,85.498482,1116.391113,750.0,51.413692,74.705963,85.498482,431.838,681.0,11.506200000000002,62.1522,13.222800000000001,228.0,300.0,8.775,24.45,7.695,190.5,150.0,8.325000000000001,20.25,4.995,568.338,306.0,12.856200000000001,20.452199999999998,42.6228,190.5,150.0,8.325000000000001,20.25,4.995,190.5,375.0,8.325000000000001,20.25,4.995,620.338,706.0,22.2062,67.9522,27.3728,1116.391113,750.0,51.413692,74.705963,85.498482,659.24,408.0,21.738,88.314,23.948,382.74,358.0,20.563000000000002,24.714,18.893,349.4,870.0,3.04,60.2,13.990000000000002,659.24,408.0,21.738,88.314,23.948,1007.3399999999999,1057.0,54.68719999999999,61.960800000000006,52.9568,659.24,408.0,21.738,88.314,23.948,568.74,358.0,18.688,74.96399999999998,22.747999999999998
dish_1559844951,274.335999,122.0,17.906,22.792,9.784,274.335999,122.0,17.906,22.792,9.784,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,274.335999,122.0,17.906,22.792,9.784,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999,431.1,180.0,22.395000000000003,43.44,10.379999999999999
dish_1562963704,663.755798,479.0,28.423254,66.054832,35.921761,663.755798,479.0,28.423254,66.054832,35.921761,206.0,200.0,3.05,35.65,7.25,401.0,350.0,11.149999999999999,61.15,10.7,401.0,350.0,11.149999999999999,61.15,10.7,336.5,250.0,12.75,35.85,17.2,466.0,400.0,17.85,60.25,12.450000000000001,401.0,350.0,11.149999999999999,61.15,10.7,206.0,200.0,3.05,35.65,7.25,663.755798,479.0,28.423254,66.054832,35.921761,401.0,350.0,11.15,61.15,10.700000000000001,1154.2,770.0,47.06000000000001,61.15,116.25999999999999,582.5,500.0,13.850000000000001,61.15,50.0,1377.7,920.0,51.260000000000005,70.15,147.90999999999997,1154.2,770.0,47.06000000000001,61.15,116.25999999999999,401.0,350.0,11.15,61.15,10.700000000000001,624.5,500.0,15.350000000000001,70.15,42.35
dish_1566417398,56.892494,46.0,5.357862,2.088042,0.792647,56.892494,46.0,5.357862,2.088042,0.792647,8.0,50.0,0.05,1.15,0.35,14.5,800.0,0.15000000000000002,1.5999999999999999,0.95,346.5,700.0,25.1,7.45,22.6,340.0,650.0,25.0,7.0,22.0,340.0,650.0,25.0,7.0,22.0,8.0,50.0,0.05,1.15,0.35,346.5,700.0,25.1,7.45,22.6,56.892494,46.0,5.357862,2.088042,0.792647,32.239999999999995,758.0,2.138,1.214,1.5979999999999999,8.0,750.0,0.05,1.15,0.35,13.61,767.0,0.186,2.0,0.486,8.0,750.0,0.05,1.15,0.35,8.0,750.0,0.05,1.15,0.35,64.32,732.0,1.7504,0.1984,11.968,32.239999999999995,758.0,2.138,1.214,1.5979999999999999
dish_1561739238,274.190002,257.0,9.785,37.556999,9.465,274.190002,257.0,9.785,37.556999,9.465,382.56,464.0,1.9153000000000002,73.672,7.4765999999999995,382.56,464.0,1.9153000000000002,73.672,7.4765999999999995,382.56,464.0,1.9153000000000002,73.672,7.4765999999999995,235.14,348.0,5.3253,31.203400000000002,4.0394,437.64,498.0,6.6753,74.2534,7.7894,235.14,348.0,5.3253,31.203400000000002,4.0394,437.64,498.0,6.6753,74.2534,7.7894,274.190002,257.0,9.785,37.556999,9.465,549.76,762.0,8.189300000000001,92.97200000000001,13.233600000000001,697.31,917.0,13.5273,45.602000000000004,86.9186,288.9,630.0,3.4273,42.426,9.7366,865.5799999999999,1244.0,9.564499999999999,90.0304,91.18459999999999,287.65000000000003,605.0,3.2272999999999996,44.226,8.6616,465.80000000000007,700.0,4.4673,82.956,11.4866,899.81,1067.0,14.8773,88.652,90.6686
dish_1562611680,326.888977,256.0,19.411798,24.775015,16.028036,326.888977,256.0,19.411798,24.775015,16.028036,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,190.05,841.0,5.332800000000001,1.74,33.534,0.0,700.0,0.0,0.0,0.0,197.85,901.0,5.3928,2.802,33.989999999999995,176.4,826.0,4.7628,0.0,33.263999999999996,13.65,715.0,0.5700000000000001,1.74,0.27,326.888977,256.0,19.411798,24.775015,16.028036,181.5,1060.0,2.7,0.0,39.3,189.5,1110.0,2.75,1.15,39.65,510.5,1160.0,27.8,2.0,63.099999999999994,189.5,1110.0,2.75,1.15,39.65,189.5,1110.0,2.75,1.15,39.65,189.5,1110.0,2.75,1.15,39.65,189.5,1110.0,2.75,1.15,39.65
dish_1563468327,351.886047,483.0,9.768622,57.495316,12.099887,351.886047,483.0,9.768622,57.495316,12.099887,155.68,206.0,0.562,33.61,1.274,155.68,206.0,0.562,33.61,1.274,155.68,206.0,0.562,33.61,1.274,565.2299999999999,686.0,22.001125,58.64999999999999,21.322750000000003,155.68,206.0,0.562,33.61,1.274,155.68,206.0,0.562,33.61,1.274,149.0,250.0,0.55,32.15,1.99,351.886047,483.0,9.768622,57.495316,12.099887,227.28,639.0,7.690125000000001,26.75,7.73975,563.28,989.0,14.465125000000002,79.88999999999999,13.58975,336.86,875.0,8.172625000000002,47.430400000000006,10.64235,250.68,306.0,7.362000000000001,37.51,5.074,615.24,720.0,14.352300000000001,100.642,12.700600000000001,503.18,631.0,13.791125000000001,72.3,10.627749999999999,458.84000000000003,753.0,15.105425,57.321999999999996,10.416350000000001
dish_1562862493,198.320007,134.0,14.74,2.144,13.400001,198.320007,134.0,14.74,2.144,13.400001,135.0,150.0,8.700000000000001,5.85,6.0,135.0,150.0,8.700000000000001,5.85,6.0,20.3,70.0,0.14,3.36,0.91,135.0,150.0,8.700000000000001,5.85,6.0,245.3,220.0,11.15,22.259999999999998,12.76,135.0,150.0,8.700000000000001,5.85,6.0,20.3,70.0,0.14,3.36,0.91,198.320007,134.0,14.74,2.144,13.400001,135.0,150.0,8.700000000000001,5.85,6.0,135.0,150.0,8.700000000000001,5.85,6.0,135.0,150.0,8.700000000000001,5.85,6.0,135.0,150.0,8.700000000000001,5.85,6.0,135.0,150.0,8.700000000000001,5.85,6.0,135.0,150.0,8.700000000000001,5.85,6.0,135.0,150.0,8.700000000000001,5.85,6.0
dish_1558549008,20.700001,115.0,0.23,4.485,1.035,20.700001,115.0,0.23,4.485,1.035,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,20.700001,115.0,0.23,4.485,1.035,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,5.61,17.0,0.136,0.85,0.136,22.759999999999998,52.0,0.20600000000000002,4.0,0.451,5.61,17.0,0.136,0.85,0.136,86.21,147.0,0.461,16.580000000000002,0.786,5.61,17.0,0.136,0.85,0.136
dish_1560453174,329.716248,256.0,18.145134,10.521854,32.1376,329.716248,256.0,18.145134,10.521854,32.1376,1258.1799999999998,1194.0,76.74000000000001,14.781400000000001,124.13279999999999,626.0799999999999,1034.0,32.6925,15.2014,63.63779999999999,1258.1799999999998,1244.0,76.74000000000001,14.781400000000001,124.13279999999999,912.5999999999999,1360.0,47.212500000000006,14.82,103.845,0.0,700.0,0.0,0.0,0.0,55.08,734.0,4.76,0.5814,0.3128,576.5799999999999,834.0,32.46,7.5814,61.6128,329.716248,256.0,18.145134,10.521854,32.1376,0.0,700.0,0.0,0.0,0.0,802.7,1270.0,36.142500000000005,7.62,107.58500000000001,0.0,700.0,0.0,0.0,0.0,49.5,850.0,0.2325,7.62,2.025,231.0,1000.0,2.9325,7.62,41.324999999999996,49.5,850.0,0.2325,7.62,2.025,0.0,700.0,0.0,0.0,0.0
dish_1562691032,419.681702,415.0,22.039829,39.058826,17.94734,419.681702,415.0,22.039829,39.058826,17.94734,617.53,731.0,18.924400000000002,78.0626,23.441999999999997,617.53,731.0,18.924400000000002,78.0626,23.441999999999997,617.53,731.0,18.924400000000002,78.0626,23.442,617.53,731.0,18.924400000000002,78.0626,23.441999999999997,371.53,581.0,12.549400000000002,36.962599999999995,19.391999999999996,617.53,731.0,18.924400000000002,78.0626,23.441999999999997,617.53,731.0,18.924400000000002,78.0626,23.441999999999997,419.681702,415.0,22.039829,39.058826,17.94734,321.99,619.0,1.7009999999999998,58.253,8.728000000000002,447.99,769.0,2.1510000000000002,85.703,9.778,321.99,619.0,1.7009999999999998,58.253,8.728000000000002,443.18,756.0,2.112,84.91,9.674,201.99,419.0,1.301,35.053,7.5280000000000005,321.99,619.0,1.701,58.253,8.728000000000002,447.99,769.0,2.1510000000000002,85.703,9.777999999999999
dish_1563824250,17.200001,43.0,0.043,3.87,0.473,17.200001,43.0,0.043,3.87,0.473,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,17.200001,43.0,0.043,3.87,0.473,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375,12.9,30.0,0.17549999999999996,2.211,0.375
dish_1560543755,257.924927,264.0,8.887804,27.355255,17.404505,257.924927,264.0,8.887804,27.355255,17.404505,190.5,150.0,8.325000000000001,20.25,4.995,246.0,850.0,6.375,41.1,4.05,0.0,700.0,0.0,0.0,0.0,190.5,150.0,8.325000000000001,20.25,4.995,190.5,150.0,8.325000000000001,20.25,4.995,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,257.924927,264.0,8.887804,27.355255,17.404505,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,8.0,750.0,0.05,1.15,0.35
dish_1558549773,2.3,10.0,0.04,0.36,0.29,2.3,10.0,0.04,0.36,0.29,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,2.3,10.0,0.04,0.36,0.29,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35,21.0,100.0,0.35000000000000003,1.6949999999999998,1.8,40.5,150.0,0.21000000000000005,2.805,4.455000000000001,17.5,50.0,0.21250000000000002,1.6,1.35,17.5,50.0,0.21250000000000002,1.6,1.35
dish_1563822597,59.400002,176.0,2.170667,7.626667,4.106667,59.400002,176.0,2.170667,7.626667,4.106667,28.5,850.0,0.45000000000000007,3.45,1.65,28.5,850.0,0.45000000000000007,3.45,1.65,0.0,700.0,0.0,0.0,0.0,56.72,933.0,0.6990000000000001,5.525,2.314,219.0,300.0,8.775,23.7,6.645,123.5,950.0,0.6500000000000001,23.95,2.8499999999999996,0.0,700.0,0.0,0.0,0.0,59.400002,176.0,2.170667,7.626667,4.106667,216.97,923.0,6.1160000000000005,34.047999999999995,3.526,272.99,1245.0,6.9332,40.746399999999994,6.502000000000001,135.82999999999998,919.0,6.2,14.228,4.0748,216.97,923.0,6.1160000000000005,34.047999999999995,3.526,33.39,707.0,2.946999999999999,0.245,1.477,120.55,772.0,8.074,6.9961,4.275,135.82999999999998,919.0,6.2,14.228,4.0748
dish_1566920365,490.421692,871.0,5.324439,41.393566,60.675976,490.421692,871.0,5.324439,41.393566,60.675976,268.26,266.0,12.8373,22.766000000000002,12.9146,220.20000000000002,302.0,12.822000000000001,11.534,12.188,268.26,266.0,12.8373,22.766000000000002,12.9146,182.86,224.0,10.654,7.989999999999999,11.790000000000001,276.2,460.0,15.218000000000002,13.8808,17.416,173.26000000000002,166.0,6.0373,18.866,9.1146,286.02,408.0,10.8993,30.052,12.866600000000002,490.421692,871.0,5.324439,41.393566,60.675976,121.44,88.0,8.3468,0.6204000000000001,11.0,251.94,138.0,18.046799999999998,0.8204,20.95,230.94,238.0,8.4968,23.1204,14.0,121.44,88.0,8.3468,0.6204000000000001,11.0,425.44,328.0,24.586800000000004,26.4204,22.72,717.71,503.0,32.1948,0.6204000000000001,106.46499999999999,121.44,88.0,8.3468,0.6204000000000001,11.0
